display_name	item_id	type_a	type_b	max_stack	rank
	Blueprint_Otomo_PalConfidence_Increase_1	Blueprint	Blueprint	1	99
	Blueprint_Salvage_FishingBait_1_A	Blueprint	Blueprint	9999	1
	Blueprint_Salvage_FishingBait_1_B	Blueprint	Blueprint	9999	1
	Blueprint_Salvage_FishingBait_2_A	Blueprint	Blueprint	9999	1
	Blueprint_Salvage_FishingBait_2_B	Blueprint	Blueprint	9999	1
	Blueprint_Salvage_FishingBait_3_B	Blueprint	Blueprint	9999	1
	Blueprint_Salvage_TreasureBoxKey01	Blueprint	Blueprint	9999	1
	MonsterEquipWeapon_Dummy	MonsterEquipWeapon	MonsterEquipWeapon	1	1
	Otomo_MoveSpeed_up_1	Accessory	Accessory	1	8
	PV_Glider_Manta	Glider	Glider	1	4
	TEST_BossDefeatReward	Essential	NONE	9999	1
	TEST_CaptureItemModifier	None	NONE	1	1
	YakushimaParts001	Material	MaterialMonster	9999	1
	YakushimaParts002	Material	MaterialMonster	9999	1
	YakushimaParts003	Material	MaterialIngot	9999	1
5 Blueprints of Long-eared Headband	Blueprint_Head003_5	Blueprint	Blueprint	9999	1
5 Blueprints of Naemochi Hat	Blueprint_Head015_5	Blueprint	Blueprint	9999	1
5 Diagrams of Agricultural Hat	Blueprint_Head011_5	Blueprint	Blueprint	9999	1
5 Schematic Diagrams of the Silk Hat	Blueprint_Head007_5	Blueprint	Blueprint	9999	1
Ability Glasses	Accessory_TalentChecker	Accessory	Accessory	1	2
Advanced Arrow	SFArrow	Ammo	ConsumeBullet	9999	1
Advanced Bow	SFBow	Weapon	WeaponBow	1	4
Advanced Bow	SFBow_2	Weapon	WeaponBow	1	4
Advanced Bow	SFBow_3	Weapon	WeaponBow	1	4
Advanced Bow	SFBow_4	Weapon	WeaponBow	1	4
Advanced Bow	SFBow_5	Weapon	WeaponBow	1	4
Advanced Bow Schematic 1	Blueprint_SFBow_2	Blueprint	Blueprint	9999	1
Advanced Bow Schematic 2	Blueprint_SFBow_3	Blueprint	Blueprint	9999	1
Advanced Bow Schematic 3	Blueprint_SFBow_4	Blueprint	Blueprint	9999	1
Advanced Bow Schematic 4	Blueprint_SFBow_5	Blueprint	Blueprint	9999	1
Advanced Fishing Rod (Depresso)	FishingRod_03_2	Weapon	NONE	1	4
Advanced Fishing Rod (Depresso) Schematic	Blueprint_FishingRod_03_2	Blueprint	Blueprint	9999	1
Advanced Fishing Rod (Pengullet)	FishingRod_03_1	Weapon	NONE	1	4
Advanced Recovery Meds	Potion_Extreme	Consume	Drug	9999	5
Advanced Shield	Shield_SF	Armor	Shield	1	4
Advanced Technical Manual	TechnologyBook_G1	Consume	ConsumeTechnologyBook	9999	5
Aegidron Bounty Token	BossDefeatReward_DomeArmorDragon	Essential	NONE	9999	1
Aegidron Saddle	SkillUnlock_DomeArmorDragon	Essential	Essential_PalGear	9999	0
AI Core	AIcore	Material	MaterialProccessing	9999	5
Air Dash Boots	Accessory_AirDash1	Accessory	Accessory	1	2
Air Walker EX	Accessory_SuperJumpAir_2	Accessory	Accessory	1	3
Air Walker EX Schematic	Blueprint_Accessory_SuperJumpAir_2	Blueprint	Blueprint	9999	8
Air Walker Mk I	Accessory_JumpAir_1	Accessory	Accessory	1	3
Air Walker Mk I Schematic	Blueprint_Accessory_JumpAir_1	Blueprint	Blueprint	9999	8
Air Walker Mk II	Accessory_JumpAir_2	Accessory	Accessory	1	3
Air Walker Mk II Schematic	Blueprint_Accessory_JumpAir_2	Blueprint	Blueprint	9999	8
Air Walker Mk III	Accessory_SuperJumpAir_1	Accessory	Accessory	1	3
Air Walker Mk III Schematic	Blueprint_Accessory_SuperJumpAir_1	Blueprint	Blueprint	9999	8
Alluring Bait	FishingBait_3_A	Consume	NONE	9999	1
Ancient Armor	AncientArmor	Armor	ArmorBody	1	10
Ancient Armor	AncientArmor_2	Armor	ArmorBody	1	10
Ancient Armor	AncientArmor_3	Armor	ArmorBody	1	10
Ancient Armor	AncientArmor_4	Armor	ArmorBody	1	10
Ancient Armor	AncientArmor_5	Armor	ArmorBody	1	10
Ancient Armor Schematic 1	Blueprint_AncientArmor_2	Blueprint	Blueprint	9999	1
Ancient Armor Schematic 2	Blueprint_AncientArmor_3	Blueprint	Blueprint	9999	1
Ancient Armor Schematic 3	Blueprint_AncientArmor_4	Blueprint	Blueprint	9999	1
Ancient Armor Schematic 4	Blueprint_AncientArmor_5	Blueprint	Blueprint	9999	1
Ancient Bark	Wood_Ancient	Material	MaterialWood	9999	1
Ancient Bone	BeastBone_Ancient	Material	MaterialOre	9999	1
Ancient Civilization Core	AncientParts2	Material	MaterialMonster	9999	8
Ancient Civilization Parts	PalCrystal_Ex	Material	MaterialMonster	9999	1
Ancient Helm	AncientHelmet	Armor	ArmorHead	1	10
Ancient Helm	AncientHelmet_2	Armor	ArmorHead	1	10
Ancient Helm	AncientHelmet_3	Armor	ArmorHead	1	10
Ancient Helm	AncientHelmet_4	Armor	ArmorHead	1	10
Ancient Helm	AncientHelmet_5	Armor	ArmorHead	1	10
Ancient Helm Schematic 1	Blueprint_AncientHelmet_2	Blueprint	Blueprint	9999	1
Ancient Helm Schematic 2	Blueprint_AncientHelmet_3	Blueprint	Blueprint	9999	1
Ancient Helm Schematic 3	Blueprint_AncientHelmet_4	Blueprint	Blueprint	9999	1
Ancient Helm Schematic 4	Blueprint_AncientHelmet_5	Blueprint	Blueprint	9999	1
Ancient Lava	Lava_Ancient	Material	MaterialOre	9999	1
Ancient Pal Manuscript	AncientParts3	Material	MaterialMonster	9999	8
Ancient Shield	Shield_07	Armor	Shield	1	10
Ancient Sphere	PalSphere_Ancient_2	SpecialWeapon	SPWeaponCaptureBall	9999	10
Ancient Technical Manual	AncientTechnologyBook_G1	Consume	ConsumeAncientTechnologyBook	9999	5
Animal Skin	AnimalSkin	Material	MaterialMonster	9999	1
Animal Skin	AnimalSkin2	Material	MaterialMonster	9999	1
Anti-Gravity Belt	Accessory_JumpPower_Increase	Accessory	Accessory	1	2
Antibiotic Good	Antibiotic_Good	Consume	ConsumeBandage	9999	6
Antibiotic Normal	Antibiotic_Normal	Consume	ConsumeBandage	9999	5
Antibiotic Super	Antibiotic_Super	Consume	ConsumeBandage	9999	7
Anubis Bounty Token	BossDefeatReward_Anubis	Essential	NONE	9999	1
